kind,matsubara_index,temperature_K,q_magnitude,q_phi,nk,delta0,eta,deg_tol,denominator_mode,num_subspaces_minus,num_subspaces_plus,max_subspace_dimension_minus,max_subspace_dimension_plus,near_degenerate_group_count,eigenstate_overlap_offdiag_norm,eigenstate_overlap_diagonal_error,projector_overlap_error,projector_trace_defect,subspace_mixing_norm,unmatched_subspace_weight,possible_band_phase_or_order_issue,possible_true_subspace_mixing,near_degenerate_count,min_abs_energy_diff,near_degenerate_weight_raw,near_degenerate_weight_stable,denominator_regularization_delta,stable_denominator_changed_response_norm,stable_denominator_improves_continuity,error_to_local_sigma,error_to_K_para,error_to_K_total,error_to_K_total_over_omega,error_to_normal_kubo_sigma,best_match_component,small_q_relative_error,diagnostic_status,gauge_status,final_casimir_input,not_final_Casimir_conclusion,notes
normal,1,30.0,0.0001,0.0,6,0.04,0.0001,1e-08,raw,4,4,1,1,0,0.0010052661451325886,2.5215291532543205e-07,5.043057670350848e-07,1.3322676295501878e-15,0.0007101448912926448,0.0,False,False,0,4.674899206635885e-07,0.0,0.0,0.0,0.0,False,2.7721315275266534e-05,nan,nan,nan,2.7721315275266534e-05,local_sigma,2.7721315275266534e-05,small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0001,0.0,6,0.04,0.0001,1e-08,stable,4,4,1,1,0,0.0010052661451325886,2.5215291532543205e-07,5.043057670350848e-07,1.3322676295501878e-15,0.0007101448912926448,0.0,False,False,0,4.674899206635885e-07,0.0,0.0,0.0,0.0,False,2.7721315275266534e-05,nan,nan,nan,2.7721315275266534e-05,local_sigma,2.7721315275266534e-05,small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0001,0.0,6,0.04,0.0001,1e-07,raw,4,4,1,1,0,0.0010052661451325886,2.5215291532543205e-07,5.043057670350848e-07,1.3322676295501878e-15,0.0007101448912926448,0.0,False,False,0,4.674899206635885e-07,0.0,0.0,0.0,0.0,False,2.7721315275266534e-05,nan,nan,nan,2.7721315275266534e-05,local_sigma,2.7721315275266534e-05,small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0001,0.0,6,0.04,0.0001,1e-07,stable,4,4,1,1,0,0.0010052661451325886,2.5215291532543205e-07,5.043057670350848e-07,1.3322676295501878e-15,0.0007101448912926448,0.0,False,False,0,4.674899206635885e-07,0.0,0.0,0.0,0.0,False,2.7721315275266534e-05,nan,nan,nan,2.7721315275266534e-05,local_sigma,2.7721315275266534e-05,small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0001,0.0,6,0.04,0.0001,1e-06,raw,4,4,1,1,0,0.0010052661451325886,2.5215291532543205e-07,5.043057670350848e-07,1.3322676295501878e-15,0.0007101448912926448,0.0,False,False,4,4.674899206635885e-07,0.0,0.0,1.4676681972980226e-94,0.0,False,2.7721315275266534e-05,nan,nan,nan,2.7721315275266534e-05,local_sigma,2.7721315275266534e-05,near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0001,0.0,6,0.04,0.0001,1e-06,stable,4,4,1,1,0,0.0010052661451325886,2.5215291532543205e-07,5.043057670350848e-07,1.3322676295501878e-15,0.0007101448912926448,0.0,False,False,4,4.674899206635885e-07,0.0,0.0,1.4676681972980226e-94,0.0,False,2.7721315275266534e-05,nan,nan,nan,2.7721315275266534e-05,local_sigma,2.7721315275266534e-05,near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0001,0.7853981634,6,0.04,0.0001,1e-08,raw,4,4,1,1,0,0.0014216603913583094,5.043054500664113e-07,1.0086106458917499e-06,1.5543122344752192e-15,0.0010042960942326464,0.0,False,False,24,1.1102230246251565e-16,0.0,0.0,6.821141829841846e-26,0.0,False,2.772131528571079e-05,nan,nan,nan,2.772131528571079e-05,local_sigma,2.772131528571079e-05,near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0001,0.7853981634,6,0.04,0.0001,1e-08,stable,4,4,1,1,0,0.0014216603913583094,5.043054500664113e-07,1.0086106458917499e-06,1.5543122344752192e-15,0.0010042960942326464,0.0,False,False,24,1.1102230246251565e-16,0.0,0.0,6.821141829841846e-26,0.0,False,2.772131528571079e-05,nan,nan,nan,2.772131528571079e-05,local_sigma,2.772131528571079e-05,near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0001,0.7853981634,6,0.04,0.0001,1e-07,raw,4,4,1,1,0,0.0014216603913583094,5.043054500664113e-07,1.0086106458917499e-06,1.5543122344752192e-15,0.0010042960942326464,0.0,False,False,24,1.1102230246251565e-16,0.0,0.0,6.821141829841846e-26,0.0,False,2.772131528571079e-05,nan,nan,nan,2.772131528571079e-05,local_sigma,2.772131528571079e-05,near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0001,0.7853981634,6,0.04,0.0001,1e-07,stable,4,4,1,1,0,0.0014216603913583094,5.043054500664113e-07,1.0086106458917499e-06,1.5543122344752192e-15,0.0010042960942326464,0.0,False,False,24,1.1102230246251565e-16,0.0,0.0,6.821141829841846e-26,0.0,False,2.772131528571079e-05,nan,nan,nan,2.772131528571079e-05,local_sigma,2.772131528571079e-05,near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0001,0.7853981634,6,0.04,0.0001,1e-06,raw,4,4,1,1,0,0.0014216603913583094,5.043054500664113e-07,1.0086106458917499e-06,1.5543122344752192e-15,0.0010042960942326464,0.0,False,False,24,1.1102230246251565e-16,0.0,0.0,6.821141829841846e-26,0.0,False,2.772131528571079e-05,nan,nan,nan,2.772131528571079e-05,local_sigma,2.772131528571079e-05,near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
