pairing,distance_nm,theta_deg,energy_per_area_J_m2
dwave,20.0,0.0,-2.170313629497683e-07
dwave,20.0,15.0,-2.1703132640229472e-07
dwave,20.0,30.0,-2.1703132664406357e-07
dwave,20.0,45.0,-2.1703136343337647e-07
dwave,20.0,60.0,-2.1703132664406357e-07
dwave,20.0,75.0,-2.1703132640229464e-07
dwave,20.0,90.0,-2.170313629497683e-07
dwave,30.0,0.0,-1.2081830422769546e-07
dwave,30.0,15.0,-1.2081829217083928e-07
dwave,30.0,30.0,-1.2081829227422005e-07
dwave,30.0,45.0,-1.2081830443450343e-07
dwave,30.0,60.0,-1.2081829227421997e-07
dwave,30.0,75.0,-1.208182921708393e-07
dwave,30.0,90.0,-1.2081830422769546e-07
dwave,50.0,0.0,-4.785769551079524e-08
dwave,50.0,15.0,-4.785769539903132e-08
dwave,50.0,30.0,-4.785769542407914e-08
dwave,50.0,45.0,-4.785769556091236e-08
dwave,50.0,60.0,-4.785769542407917e-08
dwave,50.0,75.0,-4.785769539903131e-08
dwave,50.0,90.0,-4.785769551079526e-08
dwave,80.0,0.0,-1.7822558542844975e-08
dwave,80.0,15.0,-1.7822560174608463e-08
dwave,80.0,30.0,-1.7822560179209162e-08
dwave,80.0,45.0,-1.782255855205323e-08
dwave,80.0,60.0,-1.782256017920915e-08
dwave,80.0,75.0,-1.782256017460845e-08
dwave,80.0,90.0,-1.782255854284497e-08
dwave,100.0,0.0,-1.0942308349961809e-08
dwave,100.0,15.0,-1.094230981943211e-08
dwave,100.0,30.0,-1.094230982130749e-08
dwave,100.0,45.0,-1.0942308353716094e-08
dwave,100.0,60.0,-1.094230982130749e-08
dwave,100.0,75.0,-1.0942309819432113e-08
dwave,100.0,90.0,-1.0942308349961817e-08
dwave,150.0,0.0,-4.495150494685129e-09
dwave,150.0,15.0,-4.4951514473626986e-09
dwave,150.0,30.0,-4.495151447714681e-09
dwave,150.0,45.0,-4.49515049538992e-09
dwave,150.0,60.0,-4.495151447714678e-09
dwave,150.0,75.0,-4.4951514473627e-09
dwave,150.0,90.0,-4.495150494685132e-09
dwave,200.0,0.0,-2.401292356725298e-09
dwave,200.0,15.0,-2.4012930002909213e-09
dwave,200.0,30.0,-2.401293000399419e-09
dwave,200.0,45.0,-2.4012923569425517e-09
dwave,200.0,60.0,-2.4012930003994176e-09
dwave,200.0,75.0,-2.4012930002909238e-09
dwave,200.0,90.0,-2.4012923567252985e-09
normal,20.0,0.0,-2.1695917827506737e-07
normal,20.0,15.0,-2.1695893276422597e-07
normal,20.0,30.0,-2.1695893436958533e-07
normal,20.0,45.0,-2.169591815159533e-07
normal,20.0,60.0,-2.1695893436958544e-07
normal,20.0,75.0,-2.1695893276422597e-07
normal,20.0,90.0,-2.169591782750674e-07
normal,30.0,0.0,-1.2078715679555753e-07
normal,30.0,15.0,-1.2078706348310865e-07
normal,30.0,30.0,-1.2078706419626934e-07
normal,30.0,45.0,-1.207871582376334e-07
normal,30.0,60.0,-1.2078706419626926e-07
normal,30.0,75.0,-1.2078706348310865e-07
normal,30.0,90.0,-1.2078715679555745e-07
normal,50.0,0.0,-4.7850244549193564e-08
normal,50.0,15.0,-4.785023081847876e-08
normal,50.0,30.0,-4.785023101836186e-08
normal,50.0,45.0,-4.785024495403761e-08
normal,50.0,60.0,-4.785023101836187e-08
normal,50.0,75.0,-4.785023081847876e-08
normal,50.0,90.0,-4.785024454919358e-08
normal,80.0,0.0,-1.7821550978632824e-08
normal,80.0,15.0,-1.7821553835980807e-08
normal,80.0,30.0,-1.782155389193183e-08
normal,80.0,45.0,-1.7821551090933415e-08
normal,80.0,60.0,-1.7821553891931833e-08
normal,80.0,75.0,-1.782155383598081e-08
normal,80.0,90.0,-1.7821550978632818e-08
normal,100.0,0.0,-1.094214777609975e-08
normal,100.0,15.0,-1.0942151763249641e-08
normal,100.0,30.0,-1.094215179655304e-08
normal,100.0,45.0,-1.0942147842100668e-08
normal,100.0,60.0,-1.0942151796553041e-08
normal,100.0,75.0,-1.0942151763249636e-08
normal,100.0,90.0,-1.0942147776099747e-08
normal,150.0,0.0,-4.495352281417985e-09
normal,150.0,15.0,-4.4953557696233645e-09
normal,150.0,30.0,-4.495355785679198e-09
normal,150.0,45.0,-4.495352312351669e-09
normal,150.0,60.0,-4.4953557856791966e-09
normal,150.0,75.0,-4.4953557696233645e-09
normal,150.0,90.0,-4.495352281417987e-09
normal,200.0,0.0,-2.4014693890693266e-09
normal,200.0,15.0,-2.401472102958247e-09
normal,200.0,30.0,-2.401472113290782e-09
normal,200.0,45.0,-2.4014694086908804e-09
normal,200.0,60.0,-2.4014721132907814e-09
normal,200.0,75.0,-2.401472102958246e-09
normal,200.0,90.0,-2.4014693890693275e-09
spm,20.0,0.0,-2.1720312475178887e-07
spm,20.0,15.0,-2.1720306976031065e-07
spm,20.0,30.0,-2.1720306996683845e-07
spm,20.0,45.0,-2.1720312516570148e-07
spm,20.0,60.0,-2.172030699668384e-07
spm,20.0,75.0,-2.1720306976031072e-07
spm,20.0,90.0,-2.1720312475178908e-07
spm,30.0,0.0,-1.2092350720321786e-07
spm,30.0,15.0,-1.2092348524460262e-07
