pairing,distance_nm,theta_deg,energy_per_area_J_m2
dwave,20.0,0.0,-2.170313629497683e-07
dwave,30.0,0.0,-1.2081830422769546e-07
dwave,50.0,0.0,-4.785769551079524e-08
dwave,80.0,0.0,-1.7822558542844975e-08
dwave,100.0,0.0,-1.0942308349961809e-08
dwave,150.0,0.0,-4.495150494685129e-09
dwave,200.0,0.0,-2.401292356725298e-09
normal,20.0,0.0,-2.1695917827506737e-07
normal,30.0,0.0,-1.2078715679555753e-07
normal,50.0,0.0,-4.7850244549193564e-08
normal,80.0,0.0,-1.7821550978632824e-08
normal,100.0,0.0,-1.094214777609975e-08
normal,150.0,0.0,-4.495352281417985e-09
normal,200.0,0.0,-2.4014693890693266e-09
spm,20.0,0.0,-2.1720312475178887e-07
spm,30.0,0.0,-1.2092350720321786e-07
spm,50.0,0.0,-4.790874742365364e-08
spm,80.0,0.0,-1.784663432174496e-08
spm,100.0,0.0,-1.0958812085436475e-08
spm,150.0,0.0,-4.503246350148423e-09
spm,200.0,0.0,-2.4060774318610385e-09
