pairing,distance_nm,theta_deg,energy_per_area_J_m2,torque_per_area_J_m2_rad,anisotropic_energy_J_m2
dwave,20.0,0.0,-2.170313629497683e-07,-1.3960106585229682e-13,-2.0746106900086677e-14
dwave,20.0,15.0,-2.1703132640229472e-07,-6.933878838878728e-14,1.580136667615337e-14
dwave,20.0,30.0,-2.1703132664406357e-07,7.072415646086128e-14,1.5559597823790557e-14
dwave,20.0,45.0,-2.1703136343337647e-07,-5.293955920339377e-23,-2.12297150673656e-14
dwave,20.0,60.0,-2.1703132664406357e-07,-7.072415661967996e-14,1.5559597823790557e-14
dwave,20.0,75.0,-2.1703132640229464e-07,6.933878844172684e-14,1.5801366755562708e-14
dwave,20.0,90.0,-2.170313629497683e-07,1.3960106615561818e-13,-2.0746106900086677e-14
dwave,30.0,0.0,-1.2081830422769546e-07,-4.605379820999519e-14,-6.8305507401870985e-15
dwave,30.0,15.0,-1.2081829217083928e-07,-2.2829456378719586e-14,5.2263054370152055e-15
dwave,30.0,30.0,-1.2081829227422005e-07,2.3421873207262714e-14,5.122924668756124e-15
dwave,30.0,45.0,-1.2081830443450343e-07,-1.5881867761018131e-22,-7.037358704698683e-15
dwave,30.0,60.0,-1.2081829227421997e-07,-2.3421873154323155e-14,5.122924748165463e-15
dwave,30.0,75.0,-1.208182921708393e-07,2.2829456511068484e-14,5.226305410545426e-15
dwave,30.0,90.0,-1.2081830422769546e-07,4.6053798108888094e-14,-6.8305507401870985e-15
dwave,50.0,0.0,-4.785769551079524e-08,-4.269067259937623e-16,-4.9548985577208313e-17
dwave,50.0,15.0,-4.785769539903132e-08,-1.6561556114652544e-16,6.221493393529788e-17
dwave,50.0,30.0,-4.785769542407914e-08,3.091700035980248e-16,3.7167117511249055e-17
dwave,50.0,45.0,-4.785769556091236e-08,5.293955920339377e-23,-9.966610526889765e-17
dwave,50.0,60.0,-4.785769542407917e-08,-3.091700168329146e-16,3.716708442402455e-17
dwave,50.0,75.0,-4.785769539903131e-08,1.6561552144185604e-16,6.221494717018768e-17
dwave,50.0,90.0,-4.785769551079526e-08,4.269068523776504e-16,-4.9549005429543015e-17
dwave,80.0,0.0,-1.7822558542844975e-08,6.232877401263305e-15,9.350662262804075e-16
