pairing,distance_nm,theta_deg,energy_per_area_J_m2
dwave,20.0,0.0,-1.33605967452409e-07
dwave,30.0,0.0,-7.556776601976552e-08
dwave,50.0,0.0,-3.127048979746121e-08
dwave,80.0,0.0,-1.2494488178974129e-08
dwave,100.0,0.0,-7.993342892054225e-09
dwave,150.0,0.0,-3.5223544805717833e-09
dwave,200.0,0.0,-1.920995154330966e-09
normal,20.0,0.0,-1.3362508667424654e-07
normal,30.0,0.0,-7.557661778229648e-08
normal,50.0,0.0,-3.1272927664602106e-08
normal,80.0,0.0,-1.2494899551793464e-08
normal,100.0,0.0,-7.993434834770789e-09
normal,150.0,0.0,-3.5222827619017315e-09
normal,200.0,0.0,-1.92092820708875e-09
spm,20.0,0.0,-1.3367468770164357e-07
spm,30.0,0.0,-7.560887820044985e-08
spm,50.0,0.0,-3.1290419940935644e-08
spm,80.0,0.0,-1.250413010386142e-08
spm,100.0,0.0,-8.000048554621544e-09
spm,150.0,0.0,-3.5256598110614106e-09
spm,200.0,0.0,-1.9228742930557027e-09
