pairing,distance_nm,theta_deg,energy_per_area_J_m2,torque_per_area_J_m2_rad,anisotropic_energy_J_m2
dwave,20.0,0.0,-1.33605967452409e-07,-6.826185027085839e-13,-3.101709512991714e-13
dwave,20.0,15.0,-1.336057887433029e-07,-1.037841226327645e-12,-1.3146184518969209e-13
dwave,20.0,30.0,-1.3360542404001364e-07,-1.0470699620490447e-12,2.332414440663402e-13
dwave,20.0,45.0,-1.3360524049875283e-07,-0.0,4.1678270487151635e-13
dwave,20.0,60.0,-1.3360542404001364e-07,1.0470699619431656e-12,2.332414440663402e-13
dwave,20.0,75.0,-1.336057887433029e-07,1.037841226327645e-12,-1.3146184518969209e-13
dwave,20.0,90.0,-1.33605967452409e-07,6.826185027085842e-13,-3.101709512991714e-13
dwave,30.0,0.0,-7.556776601976552e-08,-3.128033633971573e-13,-1.4226667000529894e-13
dwave,30.0,15.0,-7.556768412803648e-08,-4.761377013318233e-13,-6.03749409664083e-14
dwave,30.0,30.0,-7.556751671464809e-08,-4.804848289212359e-13,1.0703844742537594e-13
dwave,30.0,45.0,-7.556743254676838e-08,-0.0,1.9120632713236726e-13
dwave,30.0,60.0,-7.556751671464809e-08,4.804848288682963e-13,1.0703844742537594e-13
dwave,30.0,75.0,-7.556768412803647e-08,4.761377013053535e-13,-6.03749409531734e-14
dwave,30.0,90.0,-7.55677660197655e-08,3.1280336339715736e-13,-1.4226666999206405e-13
dwave,50.0,0.0,-3.127048979746121e-08,-8.965346900246745e-14,-4.083759093815832e-14
dwave,50.0,15.0,-3.1270466326237914e-08,-1.3673173225855365e-13,-1.7366367639242325e-14
dwave,50.0,30.0,-3.127041820489362e-08,-1.3801470671309414e-13,3.075497665510368e-14
dwave,50.0,45.0,-3.127039406190646e-08,-0.0,5.489796381150671e-14
dwave,50.0,60.0,-3.127041820489362e-08,1.3801470671309414e-13,3.075497665510368e-14
dwave,50.0,75.0,-3.1270466326237914e-08,1.3673173223208387e-13,-1.7366367639242325e-14
dwave,50.0,90.0,-3.1270489797461206e-08,8.965346897719069e-14,-4.0837590931540875e-14
dwave,80.0,0.0,-1.2494488178974129e-08,-2.2060595316449608e-14,-1.0044656311394621e-14
dwave,80.0,15.0,-1.249448240352378e-08,-3.363658664926402e-14,-4.269205963063331e-15
dwave,80.0,30.0,-1.2494470566898543e-08,-3.3923096834074544e-14,7.567419273844497e-15
dwave,80.0,45.0,-1.2494464641431814e-08,3.308722450212111e-24,1.3492886002881272e-14
dwave,80.0,60.0,-1.2494470566898545e-08,3.392309683076582e-14,7.567419272190135e-15
dwave,80.0,75.0,-1.249448240352378e-08,3.36365866459553e-14,-4.269205963063331e-15
dwave,80.0,90.0,-1.2494488178974129e-08,2.206059531644961e-14,-1.0044656311394621e-14
dwave,100.0,0.0,-7.993342892054225e-09,-1.0852504289643368e-14,-4.930677705188015e-15
dwave,100.0,15.0,-7.993340050875246e-09,-1.650704899194008e-14,-2.0894987260717385e-15
dwave,100.0,30.0,-7.993334248983584e-09,-1.6625450877049647e-14,3.712392935267648e-15
dwave,100.0,45.0,-7.993331345809523e-09,-0.0,6.615566996947295e-15
dwave,100.0,60.0,-7.993334248983584e-09,1.662545088035837e-14,3.712392935267648e-15
dwave,100.0,75.0,-7.993340050875246e-09,1.650704899194008e-14,-2.0894987260717385e-15
dwave,100.0,90.0,-7.993342892054226e-09,1.0852504295962565e-14,-4.930677706842376e-15
dwave,150.0,0.0,-3.5223544805717833e-09,-2.997755251818396e-15,-1.3531362213948406e-15
dwave,150.0,15.0,-3.5223536957612936e-09,-4.525469397902333e-15,-5.683257316970996e-16
dwave,150.0,30.0,-3.522352111041548e-09,-4.5425270656809674e-15,1.0163940140609195e-15
dwave,150.0,45.0,-3.5223513172996842e-09,-0.0,1.8101358776484512e-15
dwave,150.0,60.0,-3.5223521110415482e-09,4.542527067335329e-15,1.0163940136473292e-15
dwave,150.0,75.0,-3.5223536957612944e-09,4.525469395420791e-15,-5.683257325242802e-16
dwave,150.0,90.0,-3.5223544805717833e-09,2.9977552486587993e-15,-1.3531362213948406e-15
dwave,200.0,0.0,-1.920995154330966e-09,-1.2388038683104663e-15,-5.572631765899027e-16
dwave,200.0,15.0,-1.9209948300128716e-09,-1.8625833160861642e-15,-2.3294508226300456e-16
dwave,200.0,30.0,-1.920994179084622e-09,-1.8666874529318655e-15,4.179831672063043e-16
dwave,200.0,45.0,-1.920993852617607e-09,-4.1359030627651384e-25,7.444501824660254e-16
dwave,200.0,60.0,-1.920994179084622e-09,1.866687453759046e-15,4.179831672063043e-16
dwave,200.0,75.0,-1.920994830012872e-09,1.8625833164997545e-15,-2.3294508267659486e-16
dwave,200.0,90.0,-1.9209951543309663e-09,1.2388038683104666e-15,-5.57263177003493e-16
normal,20.0,0.0,-1.3362508667424654e-07,-2.7044781090158308e-12,-1.2336156385537365e-12
normal,20.0,15.0,-1.3362437864353328e-07,-4.12235371219438e-12,-5.255849252971908e-13
normal,20.0,30.0,-1.3362292821489026e-07,-4.190801658986002e-12,9.248437177298503e-13
normal,20.0,45.0,-1.3362218434491585e-07,-5.293955920339377e-23,1.6687136921362748e-12
normal,20.0,60.0,-1.3362292821489026e-07,4.190801658933062e-12,9.248437177298503e-13
normal,20.0,75.0,-1.3362437864353326e-07,4.122353712088501e-12,-5.25584925270721e-13
normal,20.0,90.0,-1.336250866742465e-07,2.704478109015831e-12,-1.2336156385272667e-12
normal,30.0,0.0,-7.557661778229648e-08,-1.217519938200987e-12,-5.55350916288657e-13
normal,30.0,15.0,-7.557629903632203e-08,-1.8550449664966873e-12,-2.366049418343804e-13
normal,30.0,30.0,-7.557564648302334e-08,-1.8881250118122453e-12,4.159483568514521e-13
normal,30.0,45.0,-7.557531041637767e-08,-0.0,7.520150025299357e-13
normal,30.0,60.0,-7.557564648302334e-08,1.888125011838715e-12,4.159483568514521e-13
normal,30.0,75.0,-7.557629903632203e-08,1.8550449665760966e-12,-2.366049418343804e-13
normal,30.0,90.0,-7.557661778229652e-08,1.217519938352648e-12,-5.553509163283617e-13
normal,50.0,0.0,-3.1272927664602106e-08,-3.3292657548749324e-13,-1.523431591284142e-13
normal,50.0,15.0,-3.127284050462846e-08,-5.081262753440216e-13,-6.518318548372116e-14
normal,50.0,30.0,-3.127266161030649e-08,-5.21035599124512e-13,1.1371113648959946e-13
normal,50.0,45.0,-3.127256769102672e-08,-0.0,2.0763041625830666e-13
normal,50.0,60.0,-3.127266161030649e-08,5.21035599124512e-13,1.1371113648959946e-13
normal,50.0,75.0,-3.127284050462846e-08,5.081262753307867e-13,-6.518318548372116e-14
normal,50.0,90.0,-3.1272927664602106e-08,3.329265754874933e-13,-1.523431591284142e-13
normal,80.0,0.0,-1.2494899551793464e-08,-7.256143539261882e-14,-3.3823863726423454e-14
normal,80.0,15.0,-1.24948805552541e-08,-1.1228374496896003e-13,-1.4827324362808314e-14
normal,80.0,30.0,-1.2494840760162078e-08,-1.1878210593084624e-13,2.4967767659740983e-14
normal,80.0,45.0,-1.2494818361088872e-08,-0.0,4.7366840865599015e-14
normal,80.0,60.0,-1.2494840760162078e-08,1.1878210592753752e-13,2.4967767659740983e-14
normal,80.0,75.0,-1.2494880555254099e-08,1.1228374497226875e-13,-1.4827324361153953e-14
normal,80.0,90.0,-1.2494899551793466e-08,7.256143540525723e-14,-3.3823863728077816e-14
normal,100.0,0.0,-7.993434834770789e-09,-3.1779623482344037e-14,-1.518717149399017e-14
normal,100.0,15.0,-7.993426514884817e-09,-5.014689008737124e-14,-6.867285521825029e-15
normal,100.0,30.0,-7.99340857792054e-09,-5.5074311455457236e-14,1.1069678755199332e-14
normal,100.0,45.0,-7.993397678042772e-09,-3.308722450212111e-24,2.19695565228861e-14
