scan_type,kind,distance_m,theta_grid_size,matsubara_max,kparallel_num,kparallel_max_factor,kparallel_max,phi_num,max_abs_energy_over_theta,max_abs_torque_over_theta,relative_change_vs_largest_setting,last_two_relative_change,matsubara_tail_indicator,kparallel_cutoff_indicator,phi_convergence_indicator,convergence_status,diagnosis,local_response,finite_q_resolved,n0_policy,benchmark_only,not_final_casimir_conclusion,notes
matsubara,dwave,5e-08,3,1,8,20.0,400000000.0,8,7.151235508886094e-10,0.0,0.49918319771115977,0.49918319771115977,nan,cutoff_not_final,phi_convergence_not_final,warning_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
matsubara,normal,5e-08,3,1,8,20.0,400000000.0,8,6.90732406249713e-10,0.0,0.47747996299918744,0.47747996299918744,nan,cutoff_not_final,phi_convergence_not_final,warning_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
matsubara,spm,5e-08,3,1,8,20.0,400000000.0,8,7.15119018071341e-10,0.0,0.49917858255803876,0.49917858255803876,nan,cutoff_not_final,phi_convergence_not_final,warning_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
matsubara,dwave,5e-08,3,2,8,20.0,400000000.0,8,1.4279144541883207e-09,0.0,0.0,0.49918319771115977,0.49918319771115977,cutoff_not_final,phi_convergence_not_final,warning_not_converged;warning_matsubara_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
matsubara,normal,5e-08,3,2,8,20.0,400000000.0,8,1.3219252035087772e-09,0.0,0.0,0.47747996299918744,0.47747996299918744,cutoff_not_final,phi_convergence_not_final,warning_not_converged;warning_matsubara_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
matsubara,spm,5e-08,3,2,8,20.0,400000000.0,8,1.4278922449521922e-09,0.0,0.0,0.49917858255803876,0.49917858255803876,cutoff_not_final,phi_convergence_not_final,warning_not_converged;warning_matsubara_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
kparallel_num,dwave,5e-08,3,2,6,20.0,400000000.0,8,2.827484288889681e-10,0.0,0.8019850362466617,0.8019850362466617,0.49941546923659824,cutoff_not_final,phi_convergence_not_final,warning_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
kparallel_num,normal,5e-08,3,2,6,20.0,400000000.0,8,2.674020905822451e-10,0.0,0.7977176848792341,0.7977176848792341,0.48369763258777376,cutoff_not_final,phi_convergence_not_final,warning_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
kparallel_num,spm,5e-08,3,2,6,20.0,400000000.0,8,2.827452896137757e-10,0.0,0.8019841548875123,0.8019841548875123,0.4994121651896101,cutoff_not_final,phi_convergence_not_final,warning_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
kparallel_num,dwave,5e-08,3,2,8,20.0,400000000.0,8,1.4279144541883207e-09,0.0,0.0,0.8019850362466617,0.49918319771115977,cutoff_not_final,phi_convergence_not_final,warning_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
kparallel_num,normal,5e-08,3,2,8,20.0,400000000.0,8,1.3219252035087772e-09,0.0,0.0,0.7977176848792341,0.47747996299918744,cutoff_not_final,phi_convergence_not_final,warning_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
