sampling,nk,eta_eV,matsubara_index,omega_eV,refine_factor,shift_grid,num_kpoints_total,num_fs_cells,num_refined_points,refined_area_fraction,sigma_xx,sigma_yy,sigma_xy,sigma_yx,sigma_xx_std_over_shifts,relative_std_over_shifts,delta,relative_offdiag,relative_eigen_split,sheet_conductivity_xx,reflection_dimensionless_xx,relative_change_vs_largest_nk,relative_change_between_last_two_nk,eta_relative_change,min_abs_band_energy_on_mesh,points_within_eta,points_within_omega,points_within_kBT,fermi_window_weight_sum,estimated_mesh_energy_resolution,fs_sampling_status,convergence_status,diagnosis,notes
uniform,32,0.0001,1,0.016243290521934156,1,4,1024,0,0,0.0,(79.25827938059143+0j),(79.25827938059126+0j),(-5.493749611842662e-17+0j),(-1.1131600908441646e-16+0j),0.0,0.0,(1.0757882830357231e-15+0j),1.5662027269917807e-18,2.1515765660714462e-15,(0.019292533660537185+0j),(7.268082257362659+0j),5.762752140381911,1.2824930297700798,0.02383424196112473,0.00021431250023970212,0,132,16,3.4266722489131123,0.0038780577587922416,warning_fs_underresolved_eta,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | uniform midpoint mesh baseline | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,32,0.0005,1,0.016243290521934156,1,4,1024,0,0,0.0,(77.36921837241199+0j),(77.36921837241228+0j),(2.7028952746810846e-17+0j),(-5.368874886330919e-19+0j),0.0,0.0,(-1.8367582113598327e-15+0j),3.4941912301789554e-19,3.673516422719666e-15,(0.018832710745228798+0j),(7.09485302624732+0j),5.760506987773499,1.2819915371046142,0.02383424196112473,0.00021431250023970212,8,132,16,3.4266722489131123,0.0038780577587922416,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | uniform midpoint mesh baseline | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,48,0.0001,1,0.016243290521934156,1,4,2304,0,0,0.0,(26.750421497416184+0j),(26.750421497416085+0j),(4.60924378709108e-15+0j),(4.723301855636543e-15+0j),0.0,0.0,(1.8593348709668477e-15+0j),2.467100988682213e-16,3.7186697419336955e-15,(0.006511413207625555+0j),(2.453046740123321+0j),1.2824930297700798,1.2824930297700798,0.023724606235243147,0.0004668978528986863,0,152,48,2.554164868259167,0.001913420195709059,warning_fs_underresolved_eta,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | uniform midpoint mesh baseline | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,48,0.0005,1,0.016243290521934156,1,4,2304,0,0,0.0,(26.1157782807632+0j),(26.11577828076323+0j),(4.555458728535301e-15+0j),(4.563915717238925e-15+0j),0.0,0.0,(-5.441482372236888e-16+0j),2.4691488089229656e-16,1.0882964744473777e-15,(0.0063569324932396774+0j),(2.3948491721372482+0j),1.2819915371046142,1.2819915371046142,0.023724606235243147,0.0004668978528986863,8,152,48,2.554164868259167,0.001913420195709059,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | uniform midpoint mesh baseline | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,64,0.0001,1,0.016243290521934156,1,4,4096,0,0,0.0,(11.719826149966735+0j),(11.719826149966666+0j),(6.31713120273713e-17+0j),(-5.1537277821594973e-17+0j),0.0,0.0,(2.955586364939663e-15+0j),6.956360082804383e-18,5.911172729879326e-15,(0.0028527636766897215+0j),(1.0747225547367483+0j),0.0,1.2824930297700798,0.023510059011256152,0.0004953915282692246,0,248,28,1.8142066107299586,0.0010472986220496638,warning_fs_underresolved_eta,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | uniform midpoint mesh baseline | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,64,0.0005,1,0.016243290521934156,1,4,4096,0,0,0.0,(11.444292345579354+0j),(11.444292345579322+0j),(-4.743673290093206e-18+0j),(5.294260561084866e-17+0j),0.0,0.0,(1.3969593813092111e-15+0j),4.644646995053452e-18,2.7939187626184223e-15,(0.0027856950343055783+0j),(1.0494557640541593+0j),0.0,1.2819915371046142,0.023510059011256152,0.0004953915282692246,8,248,28,1.8142066107299586,0.0010472986220496638,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | uniform midpoint mesh baseline | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,32,0.0001,1,0.016243290521934156,1,4,16384,0,0,0.0,(28.447865708630985+0j),(28.447865708630907+0j),(-4.510281037539698e-16+0j),(-5.065392549852277e-16+0j),33.14525435207312,1.1651227087316065,(1.373735761658523e-15+0j),2.3841478078716907e-17,2.747471523317046e-15,(0.006924594011418841+0j),(2.6087044739374914+0j),0.25496962036177445,0.11525491271250443,0.02373373695020786,5.3800334898830245e-05,8,1260,204,2.4030370449872387,0.0015003808374819683,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | multi-shift average control | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,32,0.0005,1,0.016243290521934156,1,4,16384,0,0,0.0,(27.7726915471075+0j),(27.77269154710748+0j),(1.5959455978986625e-15+0j),(1.6028844918025698e-15+0j),32.3533956993015,1.1649355498880727,(3.1980278835906645e-16+0j),8.144402446821442e-17,6.39605576718133e-16,(0.006760247518664842+0j),(2.5467901681722287+0j),0.2549183582389246,0.11523180741409769,0.02373373695020786,5.3800334898830245e-05,40,1260,204,2.4030370449872387,0.0015003808374819683,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | multi-shift average control | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,48,0.0001,1,0.016243290521934156,1,4,36864,0,0,0.0,(25.280788851757507+0j),(25.280788851757446+0j),(9.256484467812243e-15+0j),(9.256484467812243e-15+0j),12.743480197598588,0.5040776327164597,(1.1945064866005927e-15+0j),5.178100236918016e-16,2.3890129732011853e-15,(0.006153684809954367+0j),(2.3182796086611104+0j),0.11525491271250443,0.11525491271250443,0.02371408410520999,1.306450173448188e-05,24,2664,496,2.3111243708777165,0.0007028688739278838,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | multi-shift average control | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,48,0.0005,1,0.016243290521934156,1,4,36864,0,0,0.0,(24.681278098680874+0j),(24.681278098680803+0j),(9.200973316580985e-15+0j),(9.242606680004428e-15+0j),12.439030611560968,0.5039864857009082,(1.4394366712274863e-15+0j),5.284010682057339e-16,2.8788733424549726e-15,(0.006007755810814156+0j),(2.2633037310419275+0j),0.11523180741409769,0.11523180741409769,0.02371408410520999,1.306450173448188e-05,92,2664,496,2.3111243708777165,0.0007028688739278838,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | multi-shift average control | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,64,0.0001,1,0.016243290521934156,1,4,65536,0,0,0.0,(22.668170804350005+0j),(22.668170804349934+0j),(-2.761679773755077e-15+0j),(-2.706168622523819e-15+0j),15.5912959314811,0.6878056489890725,(1.5672696793509e-15+0j),1.7057185416764938e-16,3.1345393587018e-15,(0.0055177383572222755+0j),(2.0786993020480216+0j),0.0,0.11525491271250443,0.023693857478541806,4.732111210301998e-05,40,4788,764,2.2345249790455837,0.00038819925279219515,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | multi-shift average control | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
