sampling,nk,eta_eV,matsubara_index,omega_eV,shift_grid,num_shifts,sigma_xx,sigma_yy,sigma_xy,sigma_yx,sigma_xx_std_over_shifts,relative_std_over_shifts,delta,relative_offdiag,relative_eigen_split,sheet_conductivity_xx,reflection_dimensionless_xx,relative_change_vs_largest_nk,relative_change_between_last_two_nk,eta_relative_change,min_abs_band_energy_on_mesh,points_within_eta,points_within_omega,points_within_kBT,fermi_window_weight_sum,estimated_mesh_energy_resolution,num_refined_points,fs_sampling_status,convergence_status,diagnosis,notes
uniform,32,0.0001,1,0.016243290521934156,1,1,(79.25827938059143+0j),(79.25827938059126+0j),(-5.493749611842662e-17+0j),(-1.1131600908441646e-16+0j),0.0,0.0,(1.0757882830357231e-15+0j),1.5662027269917807e-18,2.1515765660714462e-15,(0.019292533660537185+0j),(7.268082257362659+0j),5.762752140381911,1.2824930297700798,0.02383424196112473,0.00021431250023970212,0,132,16,3.4266722489131123,0.0038780577587922416,0,warning_fs_underresolved_eta;warning_few_fs_points_within_eta,warning_high_nk_not_converged;warning_eta_sensitive;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | uniform mesh baseline | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,32,0.0001,2,0.03248658104386831,1,1,(39.84313127303748+0j),(39.84313127303728+0j),(-2.1353906855742245e-17+0j),(2.1241685168601454e-17+0j),0.0,0.0,(2.4966908932112814e-15+0j),7.559580669802582e-19,4.993381786422563e-15,(0.009698355266270246+0j),(3.653664421514649+0j),5.6730626633861645,1.2624594694861602,0.012069821713661524,0.00021431250023970212,0,200,16,3.4266722489131123,0.0038780577587922416,0,warning_fs_underresolved_eta;warning_few_fs_points_within_eta,warning_high_nk_not_converged;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | uniform mesh baseline | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,32,0.0005,1,0.016243290521934156,1,1,(77.36921837241199+0j),(77.36921837241228+0j),(2.7028952746810846e-17+0j),(-5.368874886330919e-19+0j),0.0,0.0,(-1.8367582113598327e-15+0j),3.4941912301789554e-19,3.673516422719666e-15,(0.018832710745228798+0j),(7.09485302624732+0j),5.760506987773499,1.2819915371046142,0.02383424196112473,0.00021431250023970212,8,132,16,3.4266722489131123,0.0038780577587922416,0,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | uniform mesh baseline | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,32,0.0005,2,0.03248658104386831,1,1,(39.362231782057904+0j),(39.36223178205764+0j),(7.266051237648985e-18+0j),(-7.45199366741938e-18+0j),0.0,0.0,(3.3395059213978994e-15+0j),2.6441742239669403e-19,6.679011842795799e-15,(0.009581297847290613+0j),(3.6095653433454187+0j),5.670892337483977,1.2619746960084808,0.012069821713661524,0.00021431250023970212,8,200,16,3.4266722489131123,0.0038780577587922416,0,ok,warning_high_nk_not_converged;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | uniform mesh baseline | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,48,0.0001,1,0.016243290521934156,1,1,(26.750421497416184+0j),(26.750421497416085+0j),(4.60924378709108e-15+0j),(4.723301855636543e-15+0j),0.0,0.0,(1.8593348709668477e-15+0j),2.467100988682213e-16,3.7186697419336955e-15,(0.006511413207625555+0j),(2.453046740123321+0j),1.2824930297700798,1.2824930297700798,0.023724606235243147,0.0004668978528986863,0,152,48,2.554164868259167,0.001913420195709059,0,warning_fs_underresolved_eta;warning_few_fs_points_within_eta,warning_high_nk_not_converged;warning_eta_sensitive;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | uniform mesh baseline | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,48,0.0001,2,0.03248658104386831,1,1,(13.508560340256357+0j),(13.50856034025637+0j),(2.2410326518826934e-15+0j),(2.2430927418895343e-15+0j),0.0,0.0,(-4.602451172663517e-16+0j),2.3472196358307253e-16,9.204902345327033e-16,(0.00328816569204519+0j),(1.2387516925527975+0j),1.2624594694861602,1.2624594694861602,0.011960156922253924,0.0004668978528986863,0,320,48,2.554164868259167,0.001913420195709059,0,warning_fs_underresolved_eta;warning_few_fs_points_within_eta,warning_high_nk_not_converged;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | uniform mesh baseline | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,48,0.0005,1,0.016243290521934156,1,1,(26.1157782807632+0j),(26.11577828076323+0j),(4.555458728535301e-15+0j),(4.563915717238925e-15+0j),0.0,0.0,(-5.441482372236888e-16+0j),2.4691488089229656e-16,1.0882964744473777e-15,(0.0063569324932396774+0j),(2.3948491721372482+0j),1.2819915371046142,1.2819915371046142,0.023724606235243147,0.0004668978528986863,8,152,48,2.554164868259167,0.001913420195709059,0,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | uniform mesh baseline | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,48,0.0005,2,0.03248658104386831,1,1,(13.346995838793156+0j),(13.346995838793095+0j),(2.0752218459211827e-15+0j),(2.2157343411890578e-15+0j),0.0,0.0,(2.2625365763607564e-15+0j),2.274512261743397e-16,4.525073152721513e-15,(0.0032488387143819577+0j),(1.2239360279221583+0j),1.2619746960084808,1.2619746960084808,0.011960156922253924,0.0004668978528986863,8,320,48,2.554164868259167,0.001913420195709059,0,ok,warning_high_nk_not_converged;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | uniform mesh baseline | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,64,0.0001,1,0.016243290521934156,1,1,(11.719826149966735+0j),(11.719826149966666+0j),(6.31713120273713e-17+0j),(-5.1537277821594973e-17+0j),0.0,0.0,(2.955586364939663e-15+0j),6.956360082804383e-18,5.911172729879326e-15,(0.0028527636766897215+0j),(1.0747225547367483+0j),0.0,1.2824930297700798,0.023510059011256152,0.0004953915282692246,0,248,28,1.8142066107299586,0.0010472986220496638,0,warning_fs_underresolved_eta;warning_few_fs_points_within_eta,warning_high_nk_not_converged;warning_eta_sensitive;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | uniform mesh baseline | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,64,0.0001,2,0.03248658104386831,1,1,(5.970741364628451+0j),(5.970741364628452+0j),(-1.466035488054095e-17+0j),(1.3200252833522679e-17+0j),0.0,0.0,(-7.437756598885898e-17+0j),3.304021870481831e-18,1.4875513197771796e-16,(0.0014533589380904947+0j),(0.547524368617369+0j),0.0,1.2624594694861602,0.011748405874967787,0.0004953915282692246,0,528,28,1.8142066107299586,0.0010472986220496638,0,warning_fs_underresolved_eta;warning_few_fs_points_within_eta,warning_high_nk_not_converged;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | uniform mesh baseline | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,64,0.0005,1,0.016243290521934156,1,1,(11.444292345579354+0j),(11.444292345579322+0j),(-4.743673290093206e-18+0j),(5.294260561084866e-17+0j),0.0,0.0,(1.3969593813092111e-15+0j),4.644646995053452e-18,2.7939187626184223e-15,(0.0027856950343055783+0j),(1.0494557640541593+0j),0.0,1.2819915371046142,0.023510059011256152,0.0004953915282692246,8,248,28,1.8142066107299586,0.0010472986220496638,0,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | uniform mesh baseline | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
