kind,delta0,omega_eV,normal_sigma_xx,normal_sigma_yy,normal_sigma_xy,normal_sigma_yx,Sigma_xx,Sigma_yy,Sigma_xy,Sigma_yx,Kpara_xx,Kdia_xx,Ktotal_xx,ratio_sigma_xx_to_normal,spm_dwave_abs_diff_xx,spm_dwave_rel_diff_xx,delta,relative_offdiag,relative_eigen_split,K_cancellation_metric_xx,diagnosis
spm,0.0,0.016243290521934156,(2.2699610049178465+0j),(2.2699610049178456+0j),(-4.358224488864144e-18+0j),(-4.358224488813262e-18+0j),(58.455580284868105+0j),(58.45558028486797+0j),(4.244779708310574e-16+0j),(1.5185536138103484e-16+0j),(0.37775415874243257+0j),(0.5717568144529267+0j),(0.9495109731953593+0j),(25.751799329691+0j),0.0,0.0,(1.154749633281515e-15+0j),7.712236250175364e-18,2.30949926656303e-15,1.0,pass
spm,1e-05,0.016243290521934156,(2.2699610049178465+0j),(2.2699610049178456+0j),(-4.358224488864144e-18+0j),(-4.358224488813262e-18+0j),(58.45558026423361+0j),(58.45558026423359+0j),(-2.9760913649188026e-16+0j),(-3.849026040184159e-16+0j),(0.37775415887180913+0j),(0.5717568139883781+0j),(0.9495109728601872+0j),(25.751799320600757+0j),1.920146530665079e-08,3.2847959453488946e-10,(1.8232888952986326e-16+0j),8.32324373552427e-18,3.646577790597265e-16,1.0,pass
spm,0.0001,0.016243290521934156,(2.2699610049178465+0j),(2.2699610049178456+0j),(-4.358224488864144e-18+0j),(-4.358224488813262e-18+0j),(58.455578221154916+0j),(58.45557822115481+0j),(-2.8878645792161677e-16+0j),(-4.3510991607182393e-16+0j),(0.3777541716675131+0j),(0.5717567680063532+0j),(0.9495109396738663+0j),(25.751798420550628+0j),1.920419286705055e-06,3.2852626106855486e-08,(9.116444795121672e-16+0j),8.93369550202183e-18,1.8232889590243347e-15,1.0,pass
spm,0.001,0.016243290521934156,(2.2699610049178465+0j),(2.2699610049178456+0j),(-4.358224488864144e-18+0j),(-4.358224488813262e-18+0j),(58.4553712412105+0j),(58.455371241210266+0j),(8.158944868905306e-17+0j),(-1.3205530826261141e-16+0j),(0.37775532660150085+0j),(0.571752251036996+0j),(0.9495075776384969+0j),(25.751707238392008+0j),0.0001946899462339502,3.3305685668554648e-06,(2.005624956458474e-15+0j),2.6554799756424242e-18,4.011249912916949e-15,1.0,pass
spm,0.01,0.016243290521934156,(2.2699610049178465+0j),(2.2699610049178456+0j),(-4.358224488864144e-18+0j),(-4.358224488813262e-18+0j),(58.42724322196279+0j),(58.42724322196282+0j),(3.1986175751848894e-16+0j),(2.9848693317968153e-16+0j),(0.3774457739039749+0j),(0.5716049121460749+0j),(0.9490506860500498+0j),(25.739315827620292+0j),0.026679370048853457,0.00045652128575301466,(-2.4322309134482904e-16+0j),7.487940255100392e-18,4.864461826896581e-16,1.0,pass
spm,0.04,0.016243290521934156,(2.2699610049178465+0j),(2.2699610049178456+0j),(-4.358224488864144e-18+0j),(-4.358224488813262e-18+0j),(58.12630544766478+0j),(58.12630544766486+0j),(3.084180154391419e-16+0j),(4.813737385564783e-16+0j),(0.37301431353050346+0j),(0.5711481528225996+0j),(0.944162466353103+0j),(25.606741843465482+0j),0.281357637523179,0.0048287660853815325,(-7.334469964548339e-16+0j),9.835499970392995e-18,1.4668939929096678e-15,1.0,pass
dwave,0.0,0.016243290521934156,(2.2699610049178465+0j),(2.2699610049178456+0j),(-4.358224488864144e-18+0j),(-4.358224488813262e-18+0j),(58.455580284868105+0j),(58.45558028486797+0j),(4.244779708310574e-16+0j),(1.5185536138103484e-16+0j),(0.37775415874243257+0j),(0.5717568144529267+0j),(0.9495109731953593+0j),(25.751799329691+0j),0.0,0.0,(1.154749633281515e-15+0j),7.712236250175364e-18,2.30949926656303e-15,1.0,pass
dwave,1e-05,0.016243290521934156,(2.2699610049178465+0j),(2.2699610049178456+0j),(-4.358224488864144e-18+0j),(-4.358224488813262e-18+0j),(58.455580283435076+0j),(58.455580283434955+0j),(-3.313727703087241e-17+0j),(-1.3544897552994293e-16+0j),(0.37775415877951596+0j),(0.5717568143925661+0j),(0.9495109731720821+0j),(25.751799329059697+0j),1.920146530665079e-08,3.2847959453488946e-10,(1.033197040329842e-15+0j),2.3854617641212426e-18,2.066394080659684e-15,1.0,pass
dwave,0.0001,0.016243290521934156,(2.2699610049178465+0j),(2.2699610049178456+0j),(-4.358224488864144e-18+0j),(-4.358224488813262e-18+0j),(58.4555801415742+0j),(58.455580141573954+0j),(4.687287291280868e-16+0j),(3.6626059068731025e-16+0j),(0.37775416245084675+0j),(0.571756808416948+0j),(0.9495109708677947+0j),(25.75179926656485+0j),1.920419286705055e-06,3.2852626106855486e-08,(2.127170382311926e-15+0j),1.0176202417895118e-17,4.254340764623851e-15,1.0,pass
dwave,0.001,0.016243290521934156,(2.2699610049178465+0j),(2.2699610049178456+0j),(-4.358224488864144e-18+0j),(-4.358224488813262e-18+0j),(58.455565931156734+0j),(58.4555659311566+0j),(-1.6694798470184334e-16+0j),(-1.1662647744004194e-16+0j),(0.3777545288745029+0j),(0.5717562111693525+0j),(0.9495107400438554+0j),(25.751793006361506+0j),0.0001946899462339502,3.3305685668554648e-06,(1.1547499168292435e-15+0j),3.4838445355750674e-18,2.3094998336584866e-15,1.0,pass
