kind,matsubara_index,temperature_K,nk,delta0,eta,denominator_mode,deg_tol,raw_q0_bubble,local_sigma,local_K_para,local_K_dia,local_K_total,local_K_total_over_omega,normal_kubo_sigma,hook_q0_response,error_raw_to_local_sigma,error_raw_to_local_K_para,error_raw_to_local_K_total,error_raw_to_local_K_total_over_omega,error_raw_to_normal_kubo_sigma,error_hook_to_local_sigma,best_raw_q0_match_component,best_raw_q0_relative_error,raw_q0_matches_local_sigma,raw_q0_matches_K_para,raw_q0_matches_K_total_over_omega,formula_layer_diagnosis,diagnostic_status,gauge_status,final_casimir_input,not_final_Casimir_conclusion,notes
normal,1,30.0,6,0.04,0.0001,raw,1e-08,"[[ 1.84296588e-01+0.j -6.61363325e-18+0.j]
 [-7.26415456e-18+0.j  1.84296588e-01+0.j]]","[[ 1.84301697e-01+0.j -7.75747803e-18+0.j]
 [-4.93855238e-18+0.j  1.84301697e-01+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[ 1.84301697e-01+0.j -7.75747803e-18+0.j]
 [-4.93855238e-18+0.j  1.84301697e-01+0.j]]","[[ 1.84301697e-01+0.j -7.75747803e-18+0.j]
 [-4.93855238e-18+0.j  1.84301697e-01+0.j]]",2.7723376241744606e-05,nan,nan,nan,2.7723376241744606e-05,0.0,local_sigma,2.7723376241744606e-05,True,False,False,normal_sigma_like,normal_sigma_like;raw_q0_consistency_pass,prototype_not_ward_verified,False,True,finite-q raw q=0 formula consistency diagnostic | raw_q0_bubble bypasses the q=0 local-reference hook | raw_q0_bubble uses the same bubble formula as finite q>0 | no empirical rescaling or artificial contact term applied | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,6,0.04,0.0001,raw,1e-07,"[[ 1.84296588e-01+0.j -6.61363325e-18+0.j]
 [-7.26415456e-18+0.j  1.84296588e-01+0.j]]","[[ 1.84301697e-01+0.j -7.75747803e-18+0.j]
 [-4.93855238e-18+0.j  1.84301697e-01+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[ 1.84301697e-01+0.j -7.75747803e-18+0.j]
 [-4.93855238e-18+0.j  1.84301697e-01+0.j]]","[[ 1.84301697e-01+0.j -7.75747803e-18+0.j]
 [-4.93855238e-18+0.j  1.84301697e-01+0.j]]",2.7723376241744606e-05,nan,nan,nan,2.7723376241744606e-05,0.0,local_sigma,2.7723376241744606e-05,True,False,False,normal_sigma_like,normal_sigma_like;raw_q0_consistency_pass,prototype_not_ward_verified,False,True,finite-q raw q=0 formula consistency diagnostic | raw_q0_bubble bypasses the q=0 local-reference hook | raw_q0_bubble uses the same bubble formula as finite q>0 | no empirical rescaling or artificial contact term applied | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,6,0.04,0.0001,stable,1e-08,"[[ 1.84296588e-01+0.j -6.61363325e-18+0.j]
 [-7.26415456e-18+0.j  1.84296588e-01+0.j]]","[[ 1.84301697e-01+0.j -7.75747803e-18+0.j]
 [-4.93855238e-18+0.j  1.84301697e-01+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[ 1.84301697e-01+0.j -7.75747803e-18+0.j]
 [-4.93855238e-18+0.j  1.84301697e-01+0.j]]","[[ 1.84301697e-01+0.j -7.75747803e-18+0.j]
 [-4.93855238e-18+0.j  1.84301697e-01+0.j]]",2.7723376241744606e-05,nan,nan,nan,2.7723376241744606e-05,0.0,local_sigma,2.7723376241744606e-05,True,False,False,normal_sigma_like,normal_sigma_like;raw_q0_consistency_pass,prototype_not_ward_verified,False,True,finite-q raw q=0 formula consistency diagnostic | raw_q0_bubble bypasses the q=0 local-reference hook | raw_q0_bubble uses the same bubble formula as finite q>0 | no empirical rescaling or artificial contact term applied | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,6,0.04,0.0001,stable,1e-07,"[[ 1.84296588e-01+0.j -6.61363325e-18+0.j]
 [-7.26415456e-18+0.j  1.84296588e-01+0.j]]","[[ 1.84301697e-01+0.j -7.75747803e-18+0.j]
 [-4.93855238e-18+0.j  1.84301697e-01+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[ 1.84301697e-01+0.j -7.75747803e-18+0.j]
 [-4.93855238e-18+0.j  1.84301697e-01+0.j]]","[[ 1.84301697e-01+0.j -7.75747803e-18+0.j]
 [-4.93855238e-18+0.j  1.84301697e-01+0.j]]",2.7723376241744606e-05,nan,nan,nan,2.7723376241744606e-05,0.0,local_sigma,2.7723376241744606e-05,True,False,False,normal_sigma_like,normal_sigma_like;raw_q0_consistency_pass,prototype_not_ward_verified,False,True,finite-q raw q=0 formula consistency diagnostic | raw_q0_bubble bypasses the q=0 local-reference hook | raw_q0_bubble uses the same bubble formula as finite q>0 | no empirical rescaling or artificial contact term applied | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,8,0.04,0.0001,raw,1e-08,"[[1.73836557e-01+0.j 2.29526407e-18+0.j]
 [2.59341967e-18+0.j 1.73836557e-01+0.j]]","[[1.77471251e-01+0.j 2.97186132e-18+0.j]
 [2.37555012e-18+0.j 1.77471251e-01+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[1.77471251e-01+0.j 2.97186132e-18+0.j]
 [2.37555012e-18+0.j 1.77471251e-01+0.j]]","[[1.77471251e-01+0.j 2.97186132e-18+0.j]
 [2.37555012e-18+0.j 1.77471251e-01+0.j]]",0.020480469331579938,nan,nan,nan,0.020480469331579938,0.0,local_sigma,0.020480469331579938,False,False,False,normal_finite_q_formula_mismatch,normal_finite_q_formula_mismatch;recommend_normal_kubo_formula_repair,prototype_not_ward_verified,False,True,finite-q raw q=0 formula consistency diagnostic | raw_q0_bubble bypasses the q=0 local-reference hook | raw_q0_bubble uses the same bubble formula as finite q>0 | no empirical rescaling or artificial contact term applied | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,8,0.04,0.0001,raw,1e-07,"[[1.73836557e-01+0.j 2.29526407e-18+0.j]
 [2.59341967e-18+0.j 1.73836557e-01+0.j]]","[[1.77471251e-01+0.j 2.97186132e-18+0.j]
 [2.37555012e-18+0.j 1.77471251e-01+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[1.77471251e-01+0.j 2.97186132e-18+0.j]
 [2.37555012e-18+0.j 1.77471251e-01+0.j]]","[[1.77471251e-01+0.j 2.97186132e-18+0.j]
 [2.37555012e-18+0.j 1.77471251e-01+0.j]]",0.020480469331579938,nan,nan,nan,0.020480469331579938,0.0,local_sigma,0.020480469331579938,False,False,False,normal_finite_q_formula_mismatch,normal_finite_q_formula_mismatch;recommend_normal_kubo_formula_repair,prototype_not_ward_verified,False,True,finite-q raw q=0 formula consistency diagnostic | raw_q0_bubble bypasses the q=0 local-reference hook | raw_q0_bubble uses the same bubble formula as finite q>0 | no empirical rescaling or artificial contact term applied | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,8,0.04,0.0001,stable,1e-08,"[[1.73836557e-01+0.j 2.29526407e-18+0.j]
 [2.59341967e-18+0.j 1.73836557e-01+0.j]]","[[1.77471251e-01+0.j 2.97186132e-18+0.j]
 [2.37555012e-18+0.j 1.77471251e-01+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[1.77471251e-01+0.j 2.97186132e-18+0.j]
 [2.37555012e-18+0.j 1.77471251e-01+0.j]]","[[1.77471251e-01+0.j 2.97186132e-18+0.j]
 [2.37555012e-18+0.j 1.77471251e-01+0.j]]",0.020480469331579938,nan,nan,nan,0.020480469331579938,0.0,local_sigma,0.020480469331579938,False,False,False,normal_finite_q_formula_mismatch,normal_finite_q_formula_mismatch;recommend_normal_kubo_formula_repair,prototype_not_ward_verified,False,True,finite-q raw q=0 formula consistency diagnostic | raw_q0_bubble bypasses the q=0 local-reference hook | raw_q0_bubble uses the same bubble formula as finite q>0 | no empirical rescaling or artificial contact term applied | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,8,0.04,0.0001,stable,1e-07,"[[1.73836557e-01+0.j 2.29526407e-18+0.j]
 [2.59341967e-18+0.j 1.73836557e-01+0.j]]","[[1.77471251e-01+0.j 2.97186132e-18+0.j]
 [2.37555012e-18+0.j 1.77471251e-01+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[1.77471251e-01+0.j 2.97186132e-18+0.j]
 [2.37555012e-18+0.j 1.77471251e-01+0.j]]","[[1.77471251e-01+0.j 2.97186132e-18+0.j]
 [2.37555012e-18+0.j 1.77471251e-01+0.j]]",0.020480469331579938,nan,nan,nan,0.020480469331579938,0.0,local_sigma,0.020480469331579938,False,False,False,normal_finite_q_formula_mismatch,normal_finite_q_formula_mismatch;recommend_normal_kubo_formula_repair,prototype_not_ward_verified,False,True,finite-q raw q=0 formula consistency diagnostic | raw_q0_bubble bypasses the q=0 local-reference hook | raw_q0_bubble uses the same bubble formula as finite q>0 | no empirical rescaling or artificial contact term applied | final_casimir_input=False | not a final Casimir torque conclusion
spm,1,30.0,6,0.04,0.0001,raw,1e-08,"[[2.20466004e+01+0.j 1.78341493e-16+0.j]
 [4.11958419e-16+0.j 2.20466004e+01+0.j]]","[[5.98027847e+01+0.j 2.85137802e-16+0.j]
 [5.18754728e-16+0.j 5.98027847e+01+0.j]]","[[3.58109335e-01+0.j 2.89685268e-18+0.j]
 [6.69156028e-18+0.j 3.58109335e-01+0.j]]","[[6.13284671e-01+0.j 1.73472348e-18+0.j]
 [1.73472348e-18+0.j 6.13284671e-01+0.j]]","[[9.71394006e-01+0.j 4.63157616e-18+0.j]
 [8.42628376e-18+0.j 9.71394006e-01+0.j]]","[[5.98027847e+01+0.j 2.85137802e-16+0.j]
 [5.18754728e-16+0.j 5.98027847e+01+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[5.98027847e+01+0.j 2.85137802e-16+0.j]
 [5.18754728e-16+0.j 5.98027847e+01+0.j]]",0.6313449201505242,60.56388070813905,21.695837358302594,0.6313449201505242,nan,0.0,local_sigma,0.6313449201505242,False,False,False,raw_q0_unmatched,raw_q0_unmatched;recommend_bdg_layer_alignment;recommend_formula_rederive,prototype_not_ward_verified,False,True,finite-q raw q=0 formula consistency diagnostic | raw_q0_bubble bypasses the q=0 local-reference hook | raw_q0_bubble uses the same bubble formula as finite q>0 | no empirical rescaling or artificial contact term applied | final_casimir_input=False | not a final Casimir torque conclusion
spm,1,30.0,6,0.04,0.0001,raw,1e-07,"[[2.20466004e+01+0.j 1.78341493e-16+0.j]
 [4.11958419e-16+0.j 2.20466004e+01+0.j]]","[[5.98027847e+01+0.j 2.85137802e-16+0.j]
 [5.18754728e-16+0.j 5.98027847e+01+0.j]]","[[3.58109335e-01+0.j 2.89685268e-18+0.j]
 [6.69156028e-18+0.j 3.58109335e-01+0.j]]","[[6.13284671e-01+0.j 1.73472348e-18+0.j]
 [1.73472348e-18+0.j 6.13284671e-01+0.j]]","[[9.71394006e-01+0.j 4.63157616e-18+0.j]
 [8.42628376e-18+0.j 9.71394006e-01+0.j]]","[[5.98027847e+01+0.j 2.85137802e-16+0.j]
 [5.18754728e-16+0.j 5.98027847e+01+0.j]]","[[nan+0.j nan+0.j]
 [nan+0.j nan+0.j]]","[[5.98027847e+01+0.j 2.85137802e-16+0.j]
 [5.18754728e-16+0.j 5.98027847e+01+0.j]]",0.6313449201505242,60.56388070813905,21.695837358302594,0.6313449201505242,nan,0.0,local_sigma,0.6313449201505242,False,False,False,raw_q0_unmatched,raw_q0_unmatched;recommend_bdg_layer_alignment;recommend_formula_rederive,prototype_not_ward_verified,False,True,finite-q raw q=0 formula consistency diagnostic | raw_q0_bubble bypasses the q=0 local-reference hook | raw_q0_bubble uses the same bubble formula as finite q>0 | no empirical rescaling or artificial contact term applied | final_casimir_input=False | not a final Casimir torque conclusion
